Date,Name,Amount,Category,Month
2020-04-30,United Airlines,500.0,Travel,April
2020-05-10,INTRST PYMNT,-4.22,Transfer,May
2020-05-11,SparkFun,89.4,Food and Drink,May
2020-05-12,Starbucks,4.33,Food and Drink,May
2020-05-12,McDonald's,12.0,Food and Drink,May
2020-05-13,United Airlines,-500.0,Travel,May
2020-05-13,Touchstone Climbing,78.5,Recreation,May
2020-05-14,CD DEPOSIT .INITIAL.,1000.0,Transfer,May
2020-05-14,ACH Electronic CreditGUSTO PAY 123456,5850.0,Transfer,May
2020-05-15,Uber 063015 SF**POOL**,5.4,Travel,May
2020-05-15,CREDIT CARD 3333 PAYMENT *//,25.0,Payment,May
2020-05-24,AUTOMATIC PAYMENT - THANK,2078.5,Payment,May
2020-05-24,Madison Bicycle Shop,500.0,Shops,May
2020-05-24,KFC,500.0,Food and Drink,May
2020-05-25,Tectra Inc,500.0,Food and Drink,May
2020-05-28,Uber 072515 SF**POOL**,6.33,Travel,May
2020-05-30,United Airlines,500.0,Travel,May
2020-06-09,INTRST PYMNT,-4.22,Transfer,June
2020-06-10,SparkFun,89.4,Food and Drink,June
2020-06-11,Starbucks,4.33,Food and Drink,June
2020-06-11,McDonald's,12.0,Food and Drink,June
2020-06-12,United Airlines,-500.0,Travel,June
2020-06-12,Touchstone Climbing,78.5,Recreation,June
2020-06-13,CD DEPOSIT .INITIAL.,1000.0,Transfer,June
2020-06-13,ACH Electronic CreditGUSTO PAY 123456,5850.0,Transfer,June
2020-06-14,CREDIT CARD 3333 PAYMENT *//,25.0,Payment,June
2020-06-14,Uber 063015 SF**POOL**,5.4,Travel,June
2020-06-23,Madison Bicycle Shop,500.0,Shops,June
2020-06-23,KFC,500.0,Food and Drink,June
2020-06-23,AUTOMATIC PAYMENT - THANK,2078.5,Payment,June
2020-06-24,Tectra Inc,500.0,Food and Drink,June
2020-06-27,Uber 072515 SF**POOL**,6.33,Travel,June
2020-06-29,United Airlines,500.0,Travel,June
2020-07-09,INTRST PYMNT,-4.22,Transfer,July
2020-07-10,SparkFun,89.4,Food and Drink,July
2020-07-11,Starbucks,4.33,Food and Drink,July
2020-07-11,McDonald's,12.0,Food and Drink,July
2020-07-12,United Airlines,-500.0,Travel,July
2020-07-12,Touchstone Climbing,78.5,Recreation,July
2020-07-13,CD DEPOSIT .INITIAL.,1000.0,Transfer,July
2020-07-13,ACH Electronic CreditGUSTO PAY 123456,5850.0,Transfer,July
2020-07-14,Uber 063015 SF**POOL**,5.4,Travel,July
2020-07-14,CREDIT CARD 3333 PAYMENT *//,25.0,Payment,July
2020-07-23,Madison Bicycle Shop,500.0,Shops,July
2020-07-23,KFC,500.0,Food and Drink,July
2020-07-23,AUTOMATIC PAYMENT - THANK,2078.5,Payment,July
2020-07-24,Tectra Inc,500.0,Food and Drink,July
2020-07-27,Uber 072515 SF**POOL**,6.33,Travel,July
